cdiv,a_age,a_sex,e29a,pesb1,pesa1,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,cpsyear,iid,bdm1900,yob,black,orace,coll,hs,a_fnlwgt
9,37,2,1,1,3,800,289,66,812,67,1,966,80,0,0,0,1980,80000000,511,42,0,0,0,1,181159
9,25,2,1,1,2,902,236,75,908,75,0,966,80,0,0,0,1980,80000000,666,55,0,0,0,1,176473
9,31,2,1,1,2,829,238,69,860,71,0,966,80,0,0,0,1980,80000000,591,49,0,0,0,1,196955
9,24,2,1,2,1,906,239,75,952,79,0,920,76,1,1,0,1980,80000000,667,55,0,0,0,1,174364
9,31,2,3,3,3,801,218,66,786,65,0,850,70,1,1,0,1980,80000008,583,48,0,0,0,1,170013
9,37,2,1,2,3,806,291,67,733,61,0,882,73,0,0,1,1980,80000008,515,42,0,0,0,0,182400
9,39,2,1,1,4,723,230,60,729,60,0,966,80,0,0,0,1980,80000008,493,41,0,1,0,0,130205
9,24,2,1,1,3,892,216,74,902,75,0,966,80,0,0,0,1980,80000008,676,56,0,1,0,1,136668
9,27,2,1,1,0,928,297,77,,,,966,80,0,0,0,1980,80000008,631,52,0,0,0,1,176350
9,32,2,1,1,0,830,249,69,,,,966,80,0,0,0,1980,80000008,581,48,0,0,0,1,174327
9,25,2,1,1,0,923,266,76,,,,966,80,0,0,0,1980,80000008,657,54,0,0,0,1,176350
9,24,2,1,1,0,930,253,77,,,,966,80,0,0,0,1980,80000016,677,56,0,0,1,0,177449
9,32,2,1,2,1,799,219,66,889,74,1,826,68,1,1,0,1980,80000016,580,48,0,1,0,1,119798
9,36,2,1,1,3,772,248,64,796,66,1,966,80,0,0,0,1980,80000016,524,43,0,0,0,1,187403
9,37,2,3,1,2,775,256,64,809,67,1,899,74,1,1,0,1980,80000016,519,43,0,0,1,0,187403
9,27,2,1,1,1,918,280,76,943,78,1,966,80,0,0,0,1980,80000016,638,53,0,0,0,1,182525
9,57,2,1,1,3,574,302,47,599,49,1,966,80,0,0,0,1980,80000016,272,22,0,0,0,1,162732
9,39,2,1,2,4,713,223,59,720,59,1,798,66,1,1,0,1980,80000016,490,40,0,0,0,1,170732
9,31,2,3,1,0,858,271,71,,,,956,79,1,1,0,1980,80000016,587,48,0,0,1,0,180575
9,31,2,4,1,2,930,347,77,936,77,0,966,80,0,1,0,1980,80000016,582,48,0,0,0,0,196955
9,22,2,1,1,1,952,254,79,964,80,1,966,80,0,0,0,1980,80000024,698,58,1,0,0,1,171758
9,26,2,1,1,3,844,200,70,863,71,0,966,80,0,0,0,1980,80000024,644,53,0,0,0,0,176473
9,26,2,2,1,4,832,180,69,837,69,0,947,78,0,0,1,1980,80000024,652,54,0,0,0,0,176473
9,69,2,1,1,4,335,207,27,347,28,1,966,80,0,0,0,1980,80000024,128,10,0,0,0,0,164422
