a_age,a_maritl,a_sex,a_fnlwgt,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,pesa1,cpsyear,iid,bdm1900,yob,black,orace,cdiv,coll,hs
31,1,2,288473,1061,349,88,,,,1086,90,0,0,0,0,1990,90000000,712,59,0,0,9,0,1
38,1,2,279145,840,221,69,852,70,0,904,75,1,1,0,5,1990,90000000,619,51,0,0,9,0,1
28,1,2,276684,968,220,80,985,82,1,1000,83,1,1,0,3,1990,90000000,748,62,0,0,9,0,1
51,1,2,294135,666,197,55,685,57,1,1086,90,0,0,0,5,1990,90000000,469,39,0,0,9,0,1
50,1,2,249173,709,225,59,,,,1086,90,0,0,0,0,1990,90000008,484,40,0,0,9,0,1
39,1,2,301696,871,253,72,874,72,0,915,76,1,1,0,1,1990,90000008,618,51,0,0,9,1,0
46,1,2,308938,863,340,71,896,74,0,1086,90,0,0,0,4,1990,90000008,523,43,0,1,9,1,0
30,1,2,264190,957,233,79,997,83,1,1086,90,0,0,0,3,1990,90000008,724,60,0,0,9,0,1
44,1,2,277084,781,228,65,815,67,1,1086,90,0,0,0,3,1990,90000008,553,46,0,0,9,0,1
52,1,2,295649,735,284,61,742,61,1,1086,90,0,0,0,2,1990,90000008,451,37,0,0,9,0,1
36,6,2,291193,962,309,80,967,80,1,1086,90,0,1,0,2,1990,90000008,653,54,0,0,9,0,1
31,1,2,222147,939,228,78,946,78,1,1086,90,0,0,0,2,1990,90000016,711,59,0,0,9,0,0
36,1,2,251394,876,227,72,904,75,1,1086,90,0,0,0,5,1990,90000016,649,54,0,0,9,0,1
39,3,2,263768,861,254,71,919,76,1,985,82,1,1,0,3,1990,90000016,607,50,0,0,9,0,1
61,5,2,301358,605,262,50,612,50,0,1055,87,1,1,0,2,1990,90000016,343,28,0,0,9,0,1
44,1,2,276149,785,229,65,791,65,0,1086,90,0,0,0,2,1990,90000016,556,46,0,0,9,0,1
39,1,2,263768,836,223,69,851,70,0,896,74,1,1,0,2,1990,90000016,613,51,0,0,9,0,1
57,1,2,252305,679,282,56,696,57,1,1086,90,0,0,0,3,1990,90000016,397,33,0,0,9,0,1
41,5,2,238579,831,241,69,915,76,0,874,72,1,1,0,2,1990,90000016,590,49,0,0,9,0,1
33,2,2,288473,1030,349,85,,,,1086,90,0,0,0,0,1990,90000016,681,56,0,0,9,0,1
58,1,2,271628,630,248,52,832,69,1,1086,90,0,0,0,1,1990,90000024,382,31,0,0,9,1,0
28,1,2,290376,945,202,78,963,80,0,1086,90,0,0,0,4,1990,90000024,743,61,0,0,9,0,1
38,1,2,279478,863,240,71,886,73,1,1086,90,0,0,0,2,1990,90000024,623,51,0,0,9,0,1
52,1,2,293813,644,193,53,655,54,1,916,76,1,1,0,4,1990,90000024,451,37,0,0,9,0,1
32,2,2,210309,969,274,80,979,81,1,1086,90,0,0,0,2,1990,90000024,695,57,0,1,9,0,1
65,1,2,347190,527,232,43,545,45,0,1086,90,0,0,0,3,1990,90000024,295,24,0,0,9,0,1
