pemaritl,pesa1,fmstm1900,fmagem,yofm,fbm1900,yofb,fb_girl,fmendm1900,yofd,fmdiv,fmdivsep,fmwid,cpsyear,iid,a_age,a_sex,bdm1900,yob,black,orace,cdiv,coll,hs,a_fnlwgt
DIVORCED,1,856,215,71,862,71,0,963,80,1,1,0,1995,95000000,42,2,641,53,0,0,1,0,1,883.15802
MARRIED - SPOUSE PRESENT,3,1065,300,88,996,82,0,1075,89,1,1,0,1995,95000000,31,2,765,63,0,0,1,1,0,932.04901
MARRIED - SPOUSE PRESENT,2,849,253,70,875,72,0,1146,95,0,0,0,1995,95000000,45,2,596,49,0,1,1,0,1,642.79688
MARRIED - SPOUSE PRESENT,2,939,205,78,981,81,0,1006,83,1,1,0,1995,95000000,34,2,734,61,0,0,1,0,1,932.04901
WIDOWED,2,561,176,46,733,61,0,760,63,0,0,1,1995,95000008,63,2,385,32,0,0,1,0,1,799.77509
MARRIED - SPOUSE PRESENT,2,848,263,70,863,71,0,1146,95,0,0,0,1995,95000008,46,2,585,48,0,0,1,0,1,881.77417
MARRIED - SPOUSE PRESENT,2,689,246,57,716,59,0,1146,95,0,0,0,1995,95000008,58,2,443,36,0,0,1,0,1,817.5791
MARRIED - SPOUSE PRESENT,1,874,370,72,1004,83,0,1146,95,0,0,0,1995,95000008,53,2,504,41,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,3,839,284,69,855,71,1,1146,95,0,0,0,1995,95000008,49,2,555,46,0,0,1,0,0,753.07721
MARRIED - SPOUSE PRESENT,3,719,297,59,731,60,0,860,71,1,1,0,1995,95000008,60,2,422,35,0,0,1,0,0,809.99622
WIDOWED,1,753,263,62,789,65,0,835,69,0,0,1,1995,95000008,54,2,490,40,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,None,1048,278,87,,,,1146,95,0,0,0,1995,95000016,31,2,770,64,0,0,1,0,1,747.79572
MARRIED - SPOUSE PRESENT,1,1085,245,90,1102,91,0,1146,95,0,0,0,1995,95000016,25,2,840,69,0,0,1,0,1,725.94427
MARRIED - SPOUSE PRESENT,None,907,255,75,,,,1146,95,0,0,0,1995,95000016,41,2,652,54,0,0,1,0,1,698.3042
WIDOWED,3,802,199,66,807,67,1,1028,85,0,0,1,1995,95000016,45,2,603,50,0,0,1,0,1,753.07721
MARRIED - SPOUSE PRESENT,3,931,237,77,955,79,0,1146,95,0,0,0,1995,95000016,37,2,694,57,0,0,1,0,1,728.5639
MARRIED - SPOUSE PRESENT,6,741,251,61,752,62,0,1146,95,0,0,0,1995,95000016,54,2,490,40,0,0,1,0,1,729.86438
MARRIED - SPOUSE PRESENT,None,1124,244,93,,,,1146,95,0,0,0,1995,95000016,22,2,880,73,0,0,1,0,1,776.0777
MARRIED - SPOUSE PRESENT,3,896,251,74,853,71,1,1146,95,0,0,0,1995,95000016,41,2,645,53,0,0,1,0,1,698.3042
MARRIED - SPOUSE PRESENT,2,655,204,54,670,55,1,1146,95,0,0,0,1995,95000016,57,2,451,37,0,0,1,0,0,734.48889
MARRIED - SPOUSE PRESENT,3,815,266,67,850,70,1,1146,95,0,0,0,1995,95000024,49,2,549,45,0,0,1,0,0,753.07721
MARRIED - SPOUSE PRESENT,2,1008,311,83,1011,84,0,1146,95,0,0,0,1995,95000024,37,2,697,58,0,0,1,0,1,812.70117
MARRIED - SPOUSE PRESENT,2,798,251,66,807,67,0,1146,95,0,0,0,1995,95000024,49,2,547,45,0,0,1,0,1,774.48969
MARRIED - SPOUSE PRESENT,None,635,233,52,,,,1146,95,0,0,0,1995,95000024,62,2,402,33,0,0,1,0,1,817.48547
DIVORCED,6,590,182,49,594,49,1,925,77,1,1,0,1995,95000024,61,2,408,33,0,0,1,0,0,817.85687
MARRIED - SPOUSE PRESENT,None,858,272,71,,,,1146,95,0,0,0,1995,95000024,46,2,586,48,0,0,1,0,1,828.87268
DIVORCED,2,669,212,55,675,56,0,813,67,1,1,0,1995,95000024,57,2,457,38,0,0,1,0,0,829.50537
MARRIED - SPOUSE PRESENT,2,1008,309,83,960,79,0,1146,95,0,0,0,1995,95000032,37,2,699,58,0,0,1,0,1,839.56012
DIVORCED,3,838,189,69,840,69,0,855,71,1,1,0,1995,95000032,41,2,649,54,0,0,1,1,0,821.44452
MARRIED - SPOUSE PRESENT,2,706,220,58,749,62,0,1146,95,0,0,0,1995,95000032,55,2,486,40,0,0,1,0,1,829.50537
DIVORCED,5,617,212,51,623,51,0,858,71,1,1,0,1995,95000032,61,2,405,33,0,0,1,0,1,765.07159
MARRIED - SPOUSE PRESENT,3,791,220,65,838,69,0,1146,95,0,0,0,1995,95000032,47,2,571,47,0,0,1,0,1,850.9931
MARRIED - SPOUSE PRESENT,4,937,243,78,958,79,0,1146,95,0,0,0,1995,95000032,37,2,694,57,0,0,1,0,1,772.31488
MARRIED - SPOUSE PRESENT,None,1119,292,93,,,,1146,95,0,0,0,1995,95000032,26,2,827,68,0,0,1,1,0,891.552
MARRIED - SPOUSE PRESENT,2,1115,259,92,1120,93,1,1146,95,0,0,0,1995,95000032,24,2,856,71,0,0,1,1,0,886.55811
MARRIED - SPOUSE PRESENT,2,1053,224,87,1051,87,1,1146,95,0,0,0,1995,95000032,26,2,829,69,0,0,1,0,1,926.00751
