nomem_encr,doetmee,filled_f,BIO1,C18IDF,BIOFBTH_MAR,BIOFBC18H,BIOFBC18H_MAR
858059,yes,1,1,1,0,1,1
854708,yes,1,1,1,0,1,1
858059,yes,1,1,1,0,1,1
854708,yes,1,1,1,0,1,1
858059,yes,1,1,1,0,1,1
854708,yes,1,1,1,0,1,1
858059,yes,1,1,1,0,1,1
854708,yes,1,1,1,0,1,1
858059,yes,0,1,1,0,0,0
854708,yes,1,1,1,0,1,1
858059,yes,1,1,1,0,1,1
854708,yes,1,1,1,0,1,1
858059,yes,1,1,1,0,1,1
854708,yes,1,1,1,0,1,1
858059,yes,0,1,1,0,0,0
854708,yes,1,1,1,0,1,1
858059,yes,1,1,1,0,1,1
854708,yes,0,1,1,0,0,0
868276,yes,0,-99,0,0,0,0
874252,yes,0,-99,0,0,0,0
868276,yes,0,-99,0,0,0,0
874252,yes,0,-99,0,0,0,0
825195,no,-99,1,0,0,0,0
840756,yes,1,1,0,0,0,0
830065,no,-99,1,0,0,0,0
805838,yes,1,1,1,1,1,1
821078,yes,1,1,1,0,1,1
816818,no,-99,1,0,0,0,0
812506,yes,1,1,1,0,0,0
863406,yes,1,1,1,0,0,0
812506,yes,1,1,1,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
812506,no,-99,1,0,0,0,0
863406,yes,1,1,1,0,0,0
868829,yes,0,-99,0,0,0,0
891400,yes,0,-99,0,0,0,0
868829,yes,1,0,0,0,0,0
891400,yes,1,0,1,0,0,0
868829,yes,0,0,0,0,0,0
891400,yes,1,0,1,0,0,0
862313,yes,1,1,1,0,1,1
870776,no,-99,1,0,0,0,0
862313,yes,1,1,1,0,1,1
870776,no,-99,1,0,0,0,0
862313,yes,1,1,1,0,1,1
870776,no,-99,1,0,0,0,0
846832,yes,1,0,1,0,0,0
891860,yes,1,0,1,0,0,0
891860,yes,1,0,1,0,0,0
846832,yes,1,0,1,0,0,0
846725,yes,1,1,1,0,0,0
821295,no,-99,1,0,0,0,0
842297,yes,1,1,1,1,1,1
838894,yes,1,1,1,1,1,1
842297,yes,1,1,1,1,1,1
838894,yes,1,1,1,1,1,1
842297,yes,1,1,1,0,0,0
838894,yes,1,1,1,0,0,0
842297,yes,0,1,1,0,0,0
838894,yes,1,1,1,0,0,0
842297,no,-99,-99,0,0,0,0
838894,no,-99,-99,0,0,0,0
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
818466,yes,1,1,1,0,1,1
800042,yes,1,1,1,0,1,1
842697,yes,1,1,1,0,1,1
876068,yes,1,1,1,0,1,1
842697,yes,1,1,1,1,1,1
876068,yes,1,1,1,1,1,1
842697,yes,1,1,1,1,1,1
876068,yes,1,1,1,1,1,1
842697,yes,1,1,1,1,1,1
876068,yes,1,1,1,1,1,1
842697,yes,1,1,1,1,1,1
876068,yes,1,1,1,1,1,1
803292,yes,1,0,1,0,0,0
826800,yes,1,0,1,0,0,0
803292,no,-99,-99,0,0,0,0
826800,no,-99,-99,0,0,0,0
803292,no,-99,-99,0,0,0,0
826800,no,-99,-99,0,0,0,0
803292,no,-99,-99,0,0,0,0
826800,no,-99,-99,0,0,0,0
856677,no,-99,1,0,0,0,0
887506,yes,1,1,1,0,1,1
856677,no,-99,1,0,0,0,0
887506,yes,0,1,1,0,0,0
829483,yes,1,1,1,0,1,1
835839,yes,1,1,1,0,1,1
829483,yes,1,1,1,0,1,1
835839,yes,1,1,1,0,1,1
829483,yes,1,1,1,0,1,1
835839,yes,1,1,1,0,1,1
829483,yes,1,1,1,0,1,1
835839,yes,1,1,1,0,1,1
829483,yes,1,1,1,0,1,1
835839,yes,1,1,1,0,1,1
829483,yes,1,1,1,0,1,1
835839,yes,1,1,1,0,1,1
829483,yes,1,1,1,1,1,1
835839,yes,1,1,1,1,1,1
829483,yes,1,1,1,1,1,1
835839,yes,1,1,1,1,1,1
829483,yes,1,1,1,1,1,1
835839,yes,1,1,1,1,1,1
848873,yes,1,1,1,1,1,1
820385,yes,0,1,0,0,0,0
848873,yes,0,1,1,0,0,0
820385,yes,0,1,0,0,0,0
848873,yes,0,1,1,0,0,0
820385,no,-99,1,0,0,0,0
848873,no,-99,-99,0,0,0,0
820385,no,-99,-99,0,0,0,0
897268,yes,1,1,1,1,1,1
857086,yes,1,1,1,1,1,1
897268,yes,1,1,1,1,1,1
857086,yes,1,1,1,1,1,1
897268,yes,1,1,1,1,1,1
857086,yes,1,1,1,1,1,1
897268,yes,1,1,1,1,1,1
857086,yes,1,1,1,1,1,1
897268,yes,1,1,1,0,0,0
857086,yes,0,1,1,0,0,0
897268,yes,1,1,1,0,0,0
857086,yes,1,1,1,0,0,0
897268,yes,1,1,1,0,0,0
857086,yes,1,1,1,0,0,0
897268,yes,1,1,0,0,0,0
857086,yes,1,1,0,0,0,0
897268,yes,1,1,0,0,0,0
857086,yes,1,1,0,0,0,0
888427,yes,1,-99,0,0,0,0
889730,yes,0,-99,0,0,0,0
897854,yes,1,1,1,0,1,1
800762,yes,1,1,1,0,1,1
897854,yes,1,1,1,0,1,1
800762,yes,1,1,1,0,1,1
897854,yes,1,1,1,0,1,1
800762,yes,1,1,1,0,1,1
897854,yes,1,1,1,0,1,1
800762,yes,1,1,1,0,1,1
897854,yes,1,1,1,0,1,1
800762,yes,1,1,1,0,1,1
800762,yes,1,1,1,1,1,1
897854,yes,1,1,1,1,1,1
800762,yes,1,1,1,1,1,1
897854,yes,1,1,1,1,1,1
800762,yes,1,1,1,1,1,1
897854,yes,1,1,1,1,1,1
800762,yes,1,1,1,1,1,1
897854,yes,1,1,1,1,1,1
878979,yes,1,1,1,0,1,0
888583,yes,1,1,1,0,1,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
878979,yes,1,1,1,0,0,0
888583,yes,1,1,1,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
857843,yes,1,1,0,0,0,0
893432,yes,1,1,0,0,0,0
882424,yes,0,1,0,0,0,0
863668,yes,1,1,1,0,1,1
882424,yes,1,1,1,0,0,0
863668,yes,1,1,1,0,1,1
839044,yes,0,-99,0,0,0,0
898944,yes,0,-99,0,0,0,0
845559,yes,0,-99,0,0,0,0
868359,yes,0,-99,0,0,0,0
845559,yes,0,-99,0,0,0,0
868359,yes,0,-99,0,0,0,0
845559,yes,0,-99,0,0,0,0
868359,yes,0,-99,0,0,0,0
812829,no,-99,1,0,0,0,0
848999,yes,1,1,1,0,0,0
812829,no,-99,1,0,0,0,0
848999,yes,1,1,1,0,0,0
812829,no,-99,1,0,0,0,0
848999,yes,0,1,1,0,0,0
849667,yes,1,1,1,0,1,1
821572,yes,1,1,1,0,1,1
849667,yes,1,1,1,0,1,1
821572,yes,1,1,1,0,1,1
849667,yes,1,1,1,0,1,1
821572,yes,1,1,1,0,1,1
849667,no,-99,1,0,0,0,0
821572,yes,1,1,1,0,1,1
849667,no,-99,1,0,0,0,0
821572,yes,0,1,1,0,0,0
886972,yes,1,1,1,0,1,0
877600,no,-99,1,0,0,0,0
886972,yes,1,1,1,0,1,0
877600,no,-99,1,0,0,0,0
886972,yes,1,1,1,0,1,0
877600,no,-99,1,0,0,0,0
886972,yes,1,1,1,0,1,0
877600,no,-99,1,0,0,0,0
886972,yes,0,1,1,0,0,0
877600,no,-99,1,0,0,0,0
893890,yes,0,0,0,0,0,0
808712,yes,1,0,1,0,0,0
845657,yes,1,1,1,0,0,0
836260,yes,1,1,1,0,0,0
845657,yes,1,1,1,0,0,0
836260,yes,1,1,1,0,0,0
845657,yes,1,1,0,0,0,0
836260,yes,1,1,0,0,0,0
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
840185,yes,1,1,1,0,1,1
848324,yes,1,1,1,0,1,1
875765,no,-99,-99,0,0,0,0
875000,yes,0,-99,0,0,0,0
875765,no,-99,1,0,0,0,0
875000,yes,1,1,1,0,0,0
881027,no,-99,-99,0,0,0,0
830017,yes,0,-99,0,0,0,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,0,1,1,0,0,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,1,1,1,0,1,0
805343,no,-99,1,0,0,0,0
898892,yes,0,1,1,0,0,0
886019,no,-99,1,0,0,0,0
800354,yes,1,1,1,0,1,1
847500,yes,1,0,0,0,0,0
859545,no,-99,0,0,0,0,0
847500,yes,1,0,0,0,0,0
859545,no,-99,0,0,0,0,0
892477,yes,1,0,1,0,0,0
891220,yes,1,0,1,0,0,0
892477,yes,1,0,1,0,0,0
891220,yes,1,0,1,0,0,0
892477,yes,1,0,1,0,0,0
891220,yes,0,0,1,0,0,0
892477,yes,1,0,1,0,0,0
891220,no,-99,0,0,0,0,0
828564,yes,1,1,1,1,1,1
859048,yes,1,1,1,1,1,1
828564,yes,1,1,1,1,1,1
859048,yes,1,1,1,1,1,1
828564,yes,1,1,1,1,1,1
859048,yes,1,1,1,1,1,1
828564,yes,0,1,1,0,0,0
859048,yes,1,1,1,1,1,1
828564,yes,1,1,1,0,0,0
859048,yes,1,1,1,0,0,0
828564,yes,1,1,1,0,0,0
859048,yes,1,1,1,0,0,0
828564,yes,1,1,1,0,0,0
859048,yes,1,1,1,0,0,0
828564,yes,1,1,1,0,0,0
859048,yes,1,1,1,0,0,0
828564,yes,1,1,1,0,0,0
859048,yes,1,1,1,0,0,0
880398,yes,1,1,1,1,1,1
861856,yes,1,1,1,1,1,1
872583,yes,0,-99,0,0,0,0
874465,yes,0,-99,0,0,0,0
874465,yes,0,1,0,0,0,0
872583,yes,1,1,1,0,1,1
872583,yes,1,1,1,0,1,1
