year,f180,f182,f183,f427,f432,p011,v124,v129,v151,b013,b014,b135,b114,age_m,age_w,edu_m,edu_w,gen_m,gen_w,mom,DGH012,PUB,DPUB,NSIB018H,NSIB018DH
2008,entirely satisfied,occasionally,practically never,,,9,neither agree nor disagree,neither agree nor disagree,fully disagree,,,,,31,31,2,3,1,1,1,1,0,0,0,0
2008,9,practically never,practically never,,,7,disagree,agree,disagree,,,,,31,31,2,3,1,1,0,1,0,0,0,0
2009,9,practically never,practically never,agree entirely,,9,disagree,neither agree nor disagree,disagree,10,,,,32,32,2,3,1,1,1,1,0,0,0,0
2009,9,practically never,practically never,fairly agree,,8,neither agree nor disagree,neither agree nor disagree,disagree,0,,,8,32,32,2,3,1,1,0,1,0,0,0,0
2010,9,occasionally,practically never,,,9,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,20,0,,,33,33,2,3,1,1,1,1,0,0,1,1
2010,8,practically never,practically never,,,8,disagree,neither agree nor disagree,neither agree nor disagree,25,0,,0,33,33,2,3,1,1,0,1,0,0,1,1
2011,9,practically never,practically never,fairly agree,good,9,disagree,neither agree nor disagree,disagree,,,,,34,34,2,3,1,1,1,1,0,0,1,1
2011,8,practically never,practically never,fairly agree,good,7,neither agree nor disagree,neither agree nor disagree,disagree,,,,,34,34,2,3,1,1,0,1,0,0,1,1
2012,7,practically never,practically never,,good,7,neither agree nor disagree,neither agree nor disagree,disagree,,,,,35,35,2,3,1,1,0,1,0,0,1,1
2013,9,practically never,practically never,fairly agree,very good,9,neither agree nor disagree,neither agree nor disagree,disagree,,,,,36,36,2,3,1,1,1,1,0,0,2,2
2013,7,practically never,occasionally,fairly agree,good,7,agree,neither agree nor disagree,disagree,,,,,36,36,2,3,1,1,0,1,0,0,2,2
2014,9,occasionally,practically never,,good,,disagree,neither agree nor disagree,disagree,,,,,38,38,2,3,1,1,1,1,0,0,2,2
2014,8,practically never,practically never,,good,8,,,,,,,,38,38,2,3,1,1,0,1,0,0,2,2
2015,6,practically never,occasionally,,good,,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,,,,,39,39,2,3,1,1,0,1,0,0,2,2
2016,9,practically never,practically never,,good,9,agree,neither agree nor disagree,disagree,,,,,40,40,2,3,1,1,1,1,0,0,2,2
2014,entirely satisfied,practically never,occasionally,,very good,,,,,,,,,37,34,3,2,4,4,1,0,1,1,3,3
2008,9,occasionally,occasionally,,,,disagree,disagree,disagree,,,,,38,38,3,3,1,2,1,0,0,0,0,0
2014,9,often,occasionally,,good,9,agree,disagree,agree,,,,,35,31,3,3,4,4,0,0,0,0,0,0
2015,9,occasionally,occasionally,,"not good, not poor",8,agree,disagree,agree,24,,,,37,33,3,3,4,4,0,0,0,0,1,0
2016,9,occasionally,occasionally,,good,9,agree,disagree,agree,,,,,38,34,3,3,4,4,0,0,0,0,1,0
2012,9,occasionally,occasionally,,good,9,disagree,neither agree nor disagree,fully disagree,20,0,,,48,47,3,2,1,1,0,0,1,1,1,0
2012,8,occasionally,occasionally,,good,8,agree,agree,agree,6,30,,65,48,47,3,2,1,1,1,0,1,1,1,0
2013,9,occasionally,occasionally,fairly agree,good,9,fully disagree,agree,disagree,,,,,49,48,3,2,1,1,0,0,1,1,1,0
