year,f024,f161,f162,h125,h126,h133,h134,age_m,age_w,edu_m,edu_w,gen_m,gen_w,NSIB018H,NSIB018DH,FB,girl
2008,no,very good,good,yes,yes,once or twice a week,yes,47,46,3,3,1,1,6,4,1,0
2008,no,good,good,no,,once or twice a week,yes,46,45,3,3,1,1,6,4,0,0
2009,no,very good,good,no,,once or twice a week,yes,47,46,3,3,1,1,5,4,0,0
2010,,,,yes,"no, I stopped",not at all over the last 12 months,,48,47,3,3,1,1,5,3,0,1
2011,no,very good,very good,yes,"no, I stopped",not at all over the last 12 months,,50,49,3,3,1,1,5,3,0,1
2012,no,very good,very good,yes,"no, I stopped",not at all over the last 12 months,,51,50,3,3,1,1,5,3,0,1
2013,yes,very good,very good,no,,not at all over the last 12 months,,52,51,3,3,1,1,5,3,0,1
2015,,,,,,,,54,53,3,3,1,1,4,3,0,0
2016,,,,,,,,55,54,3,3,1,1,4,3,0,0
2016,,,,,,,,55,54,3,3,1,1,4,2,0,0
2010,,,,,,,,46,47,2,2,4,4,1,1,1,0
2010,,,,,,,,46,47,2,2,4,4,1,0,0,0
2011,,,,,,,,47,,2,,1,,1,0,0,0
2012,,,,,,,,48,,2,,1,,1,0,0,0
2013,,,,,,,,49,,2,,1,,1,0,0,0
2012,no,good,very good,no,,once or twice a year,no,49,48,3,2,1,1,1,0,1,1
2013,no,good,good,no,,once or twice a year,no,50,49,3,2,1,1,1,0,1,1
2013,,,,,,,,49,48,3,2,1,1,1,1,0,0
2014,no,good,good,,,,,51,50,3,2,1,1,1,0,1,1
2014,no,good,good,,,,,50,50,3,2,1,1,1,1,0,0
2015,no,very good,very good,,,,,51,51,3,2,1,1,1,1,0,0
2015,,,,,,,,40,36,1,1,1,1,3,0,1,1
2016,no,not so good,fairly good,,,,,41,37,1,1,1,1,3,0,1,1
2016,,,,,,,,47,46,2,2,3,1,2,1,1,0
2008,,,,,,,,45,45,3,1,4,4,1,1,1,0
2009,,,,,,,,46,46,3,1,4,4,1,1,1,0
2010,,,,,,,,47,47,3,1,4,4,1,1,1,0
2012,,,,,,,,49,49,3,1,4,4,1,0,0,0
2008,,,,,,,,44,42,2,1,2,1,1,1,1,1
2009,no,good,good,no,,not at all over the last 12 months,,46,44,2,1,2,1,1,1,1,1
2010,no,very good,very good,no,,not at all over the last 12 months,,47,45,2,1,2,1,1,1,1,1
2011,no,good,good,no,,once or twice a year,no,48,46,2,1,2,1,1,1,1,1
2012,,,,no,,not at all over the last 12 months,,48,46,2,1,2,1,1,1,0,1
2013,no,very good,very good,no,,not at all over the last 12 months,,50,48,2,1,2,1,1,1,0,1
2014,no,very good,very good,,,,,51,49,2,1,2,1,1,1,0,1
2015,,,,,,,,46,,3,,3,1,2,0,1,0
2016,no,very good,very good,,,,,47,45,3,,3,1,2,0,1,0
2008,no,very good,very good,no,,three of four days per week,yes,44,38,2,2,1,1,4,3,1,0
2008,no,very good,very good,yes,yes,once or twice a week,no,44,12,2,2,1,1,4,2,0,1
2009,no,good,fairly good,yes,"no, I stopped",three of four days per week,yes,45,39,2,2,1,1,4,3,1,0
2009,,,,no,,once or twice a year,yes,44,39,2,2,1,1,4,3,0,0
2009,no,good,fairly good,no,,once or twice a week,yes,45,40,2,2,1,1,4,2,0,1
2010,,,,no,,once or twice a month,yes,45,40,2,2,1,1,5,3,0,0
2010,no,good,fairly good,yes,yes,once or twice a week,yes,46,41,2,2,1,1,5,2,0,1
2011,no,good,good,,,,,46,41,2,2,1,1,5,3,0,0
2015,,,,,,,,51,46,2,2,1,1,5,2,0,0
2016,,,,no,,not at all over the last 12 months,,52,47,2,2,1,1,5,2,0,0
2008,no,very good,very good,,,,,48,46,2,2,4,4,1,0,1,1
2008,,,,,,,,47,46,2,2,4,4,1,1,0,0
2009,,,,,,,,48,47,2,2,4,4,1,1,0,0
2010,,,,,,,,49,48,2,2,4,4,1,1,0,0
2009,,,,no,,once or twice a month,no,47,45,3,2,1,1,4,2,1,0
2010,no,very good,fairly good,no,,once or twice a month,no,48,47,3,2,1,1,4,2,1,0
2011,no,very good,good,,,,,49,48,3,2,1,1,4,2,1,0
2011,,,,,,,,49,47,3,2,1,1,4,2,0,0
2012,no,very good,good,no,,five or six days per week,yes,50,49,3,2,1,1,4,2,1,0
2012,no,good,fairly good,no,,once or twice a week,yes,50,49,3,2,1,1,4,2,0,0
2013,no,good,fairly good,no,,almost every day,yes,51,50,3,2,1,1,4,2,0,0
2014,no,good,fairly good,,,,,52,51,3,2,1,1,4,2,0,0
2014,,,,,,,,52,50,3,2,1,1,4,1,0,1
2015,no,very good,good,no,,not at all over the last 12 months,,53,52,3,2,1,1,2,1,0,1
2016,no,very good,very good,no,,once or twice a month,yes,54,53,3,2,1,1,2,1,0,1
2016,,,,,,,,54,53,3,2,1,1,2,1,0,0
2016,,,,,,,,37,35,3,2,4,4,3,0,1,0
2011,,,,,,,,40,41,2,2,1,1,0,0,1,0
2012,yes,good,good,yes,yes,once or twice a week,yes,41,42,2,2,1,1,0,0,1,0
2013,no,good,good,yes,yes,once or twice a week,yes,43,43,2,2,1,1,0,0,1,0
2014,no,good,fairly good,,,,,44,44,2,2,1,1,0,0,1,0
2014,yes,very good,very good,,,,,60,46,2,2,2,2,1,1,0,1
2015,yes,very good,very good,no,,not at all over the last 12 months,,61,47,2,2,2,2,1,1,1,1
2011,,,,,,,,47,47,3,1,4,4,1,0,1,0
2011,,,,,,,,47,47,3,1,4,4,1,0,1,0
2014,,,,,,,,55,42,1,2,1,1,1,1,0,0
2015,no,very good,very good,no,,not at all over the last 12 months,,57,44,1,2,1,1,1,1,0,0
2016,no,very good,very good,no,,not at all over the last 12 months,,58,45,1,2,1,1,1,1,0,0
2008,,,,,,,,49,48,2,2,1,1,2,1,0,1
2008,yes,good,fairly good,no,,once every two months,yes,50,49,2,2,1,1,2,1,1,1
2009,,,,,,,,50,49,2,2,1,1,1,0,0,1
2009,,,,,,,,50,49,2,2,1,1,1,1,0,0
2010,yes,very good,fairly good,no,,once or twice a week,yes,52,51,2,2,1,1,1,0,0,1
2010,,,,,,,,51,50,2,2,1,1,1,1,0,0
2011,,,,,,,,52,51,2,2,1,1,0,0,0,0
2012,,,,,,,,53,52,2,2,1,1,0,0,0,0
2010,,,,no,,not at all over the last 12 months,,46,46,3,2,1,1,0,0,1,1
